Snappy	0.1	Literal [1, 1, 1, 1, 1, 1, 1, 1]	11115892
Snappy	0.1	Delta [1, 1, 1, 1, 1, 1, 1, 1]	14998026
Snappy	0.1	Literal [2, 1, 1, 1, 1, 1, 1]	11115892
Snappy	0.1	Delta [2, 1, 1, 1, 1, 1, 1]	14647138
Snappy	0.1	Literal [1, 2, 1, 1, 1, 1, 1]	11115892
Snappy	0.1	Delta [1, 2, 1, 1, 1, 1, 1]	14650727
Snappy	0.1	Literal [1, 1, 2, 1, 1, 1, 1]	11381113
Snappy	0.1	Delta [1, 1, 2, 1, 1, 1, 1]	14256558
Snappy	0.1	Literal [1, 1, 1, 2, 1, 1, 1]	10819117
Snappy	0.1	Delta [1, 1, 1, 2, 1, 1, 1]	15142182
Snappy	0.1	Literal [1, 1, 1, 1, 2, 1, 1]	11131584
Snappy	0.1	Delta [1, 1, 1, 1, 2, 1, 1]	14884960
Snappy	0.1	Literal [1, 1, 1, 1, 1, 2, 1]	12009399
Snappy	0.1	Delta [1, 1, 1, 1, 1, 2, 1]	15837921
Snappy	0.1	Literal [1, 1, 1, 1, 1, 1, 2]	11142272
Snappy	0.1	Delta [1, 1, 1, 1, 1, 1, 2]	15206740
Snappy	0.1	Literal [3, 1, 1, 1, 1, 1]	11115892
Snappy	0.1	Delta [3, 1, 1, 1, 1, 1]	13711929
Snappy	0.1	Literal [2, 2, 1, 1, 1, 1]	11381113
Snappy	0.1	Delta [2, 2, 1, 1, 1, 1]	13902690
Snappy	0.1	Literal [2, 1, 2, 1, 1, 1]	10819117
Snappy	0.1	Delta [2, 1, 2, 1, 1, 1]	14791419
Snappy	0.1	Literal [2, 1, 1, 2, 1, 1]	11131584
Snappy	0.1	Delta [2, 1, 1, 2, 1, 1]	14534038
Snappy	0.1	Literal [2, 1, 1, 1, 2, 1]	12009399
Snappy	0.1	Delta [2, 1, 1, 1, 2, 1]	15487001
Snappy	0.1	Literal [2, 1, 1, 1, 1, 2]	11142272
Snappy	0.1	Delta [2, 1, 1, 1, 1, 2]	14855791
Snappy	0.1	Literal [1, 3, 1, 1, 1, 1]	11346529
Snappy	0.1	Delta [1, 3, 1, 1, 1, 1]	13580353
Snappy	0.1	Literal [1, 2, 2, 1, 1, 1]	10819117
Snappy	0.1	Delta [1, 2, 2, 1, 1, 1]	14793358
Snappy	0.1	Literal [1, 2, 1, 2, 1, 1]	11131584
Snappy	0.1	Delta [1, 2, 1, 2, 1, 1]	14537579
Snappy	0.1	Literal [1, 2, 1, 1, 2, 1]	12009399
Snappy	0.1	Delta [1, 2, 1, 1, 2, 1]	15490581
Snappy	0.1	Literal [1, 2, 1, 1, 1, 2]	11142272
Snappy	0.1	Delta [1, 2, 1, 1, 1, 2]	14859849
Snappy	0.1	Literal [1, 1, 3, 1, 1, 1]	11426291
Snappy	0.1	Delta [1, 1, 3, 1, 1, 1]	14780405
Snappy	0.1	Literal [1, 1, 2, 2, 1, 1]	11376998
Snappy	0.1	Delta [1, 1, 2, 2, 1, 1]	14113369
Snappy	0.1	Literal [1, 1, 2, 1, 2, 1]	12268092
Snappy	0.1	Delta [1, 1, 2, 1, 2, 1]	15086251
Snappy	0.1	Literal [1, 1, 2, 1, 1, 2]	11406341
Snappy	0.1	Delta [1, 1, 2, 1, 1, 2]	14464164
Snappy	0.1	Literal [1, 1, 1, 3, 1, 1]	11195680
Snappy	0.1	Delta [1, 1, 1, 3, 1, 1]	15036617
Snappy	0.1	Literal [1, 1, 1, 2, 2, 1]	11697741
Snappy	0.1	Delta [1, 1, 1, 2, 2, 1]	15964898
Snappy	0.1	Literal [1, 1, 1, 2, 1, 2]	10845250
Snappy	0.1	Delta [1, 1, 1, 2, 1, 2]	15347835
Snappy	0.1	Literal [1, 1, 1, 1, 3, 1]	11748929
Snappy	0.1	Delta [1, 1, 1, 1, 3, 1]	15266099
Snappy	0.1	Literal [1, 1, 1, 1, 2, 2]	11155547
Snappy	0.1	Delta [1, 1, 1, 1, 2, 2]	15093889
Snappy	0.1	Literal [1, 1, 1, 1, 1, 3]	13297966
Snappy	0.1	Delta [1, 1, 1, 1, 1, 3]	16655152
Snappy	0.1	Literal [4, 1, 1, 1, 1]	12854526
Snappy	0.1	Delta [4, 1, 1, 1, 1]	13700627
Snappy	0.1	Literal [3, 2, 1, 1, 1]	10819117
Snappy	0.1	Delta [3, 2, 1, 1, 1]	13853485
Snappy	0.1	Literal [3, 1, 2, 1, 1]	11131584
Snappy	0.1	Delta [3, 1, 2, 1, 1]	13598280
Snappy	0.1	Literal [3, 1, 1, 2, 1]	12009399
Snappy	0.1	Delta [3, 1, 1, 2, 1]	14552021
Snappy	0.1	Literal [3, 1, 1, 1, 2]	11142272
Snappy	0.1	Delta [3, 1, 1, 1, 2]	13920751
Snappy	0.1	Literal [2, 3, 1, 1, 1]	11426291
Snappy	0.1	Delta [2, 3, 1, 1, 1]	14425952
Snappy	0.1	Literal [2, 2, 2, 1, 1]	11376998
Snappy	0.1	Delta [2, 2, 2, 1, 1]	13759048
